Date,Open,High,Low,Close�,Adj Close�,Volume,file_path,company,ingested_at
25-Apr-25,167.1,168.24,163,163.85,163.85,"35,105,800",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
24-Apr-25,158.52,161.71,158.09,161.47,161.47,"30,787,500",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
23-Apr-25,157.91,160.02,156.35,157.72,157.72,"18,575,700",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
22-Apr-25,151.07,154.61,150.87,153.9,153.9,"15,910,300",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
21-Apr-25,150.96,151.06,148.4,149.86,149.86,"16,147,800",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
17-Apr-25,156.61,157.07,150.9,153.36,153.36,"19,513,400",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
16-Apr-25,155.47,158.18,153.91,155.5,155.5,"16,921,500",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
15-Apr-25,161.57,162.05,157.65,158.68,158.68,"15,690,800",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
14-Apr-25,162.31,164.03,159.92,161.47,161.47,"18,255,900",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
11-Apr-25,155.59,159.86,155.59,159.4,159.4,"22,582,000",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
10-Apr-25,158.76,160.03,152.2,155.37,155.37,"35,270,500",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
9-Apr-25,146.33,161.87,145.81,161.06,161.06,"46,479,500",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
8-Apr-25,153.57,154.44,145.21,146.58,146.58,"35,304,400",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
7-Apr-25,143.39,154.93,142.66,149.24,149.24,"47,823,000",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
4-Apr-25,149.9,153.09,147.54,147.74,147.74,"39,832,200",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
3-Apr-25,152.84,154.69,152.18,152.63,152.63,"28,416,100",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
2-Apr-25,156.96,160.27,156.53,158.86,158.86,"17,113,300",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
1-Apr-25,155.3,160.08,155.26,158.88,158.88,"20,111,400",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
31-Mar-25,154.81,157.13,152.21,156.23,156.23,"33,591,600",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
28-Mar-25,162.36,163.81,155.34,156.06,156.06,"34,866,500",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
27-Mar-25,166.71,167.44,163.85,164.08,164.08,"21,571,200",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
26-Mar-25,171.3,171.94,166.86,167.14,167.14,"22,498,000",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
25-Mar-25,171.18,172.91,170.55,172.79,172.79,"13,841,600",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
24-Mar-25,169.26,170.5,167.44,169.93,169.93,"18,742,800",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
21-Mar-25,163.38,166.47,163.03,166.25,166.25,"29,882,100",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
20-Mar-25,163.82,167.03,163.14,165.05,165.05,"19,981,500",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
19-Mar-25,163.91,168.13,163.05,166.28,166.28,"24,955,700",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
18-Mar-25,165.96,166.44,158.8,162.67,162.67,"24,616,800",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
17-Mar-25,167.32,168.46,165.81,166.57,166.57,"17,839,100",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
14-Mar-25,165.32,168.25,164.51,167.62,167.62,"18,611,100",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
13-Mar-25,167.98,168.12,164.07,164.73,164.73,"15,206,200",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
12-Mar-25,168.47,169.53,165.48,169,169,"19,880,100",file:///C:/Users/mukth/Desktop/enterprise_bi_agent/data/csv/google_stock_data.csv,enterprise_bi,2025-05-01T17:51:43.648589
