Date,Open,High,Low,Close ,Adj Close ,Volume
25-Apr-25,187.62,189.94,185.49,188.99,188.99,"36,364,100"
24-Apr-25,180.92,186.74,180.18,186.54,186.54,"43,763,200"
23-Apr-25,183.45,187.38,180.19,180.6,180.6,"63,470,100"
22-Apr-25,169.85,176.78,169.35,173.18,173.18,"56,607,200"
21-Apr-25,169.6,169.6,165.29,167.32,167.32,"48,126,100"
17-Apr-25,176,176.21,172,172.61,172.61,"44,468,400"
16-Apr-25,176.29,179.1,171.41,174.33,174.33,"51,875,300"
15-Apr-25,181.41,182.35,177.93,179.59,179.59,"43,642,000"
14-Apr-25,186.84,187.44,179.23,182.12,182.12,"48,002,500"
11-Apr-25,179.93,185.86,178,184.87,184.87,"50,594,300"
10-Apr-25,185.44,186.87,175.85,181.22,181.22,"68,302,000"
9-Apr-25,172.12,192.65,169.93,191.1,191.1,"116,804,300"
8-Apr-25,185.23,185.9,168.57,170.66,170.66,"87,710,400"
7-Apr-25,162,183.41,161.38,175.26,175.26,"109,327,100"
4-Apr-25,167.15,178.14,166,171,171,"123,159,400"
3-Apr-25,183,184.13,176.92,178.41,178.41,"95,553,600"
2-Apr-25,187.66,198.34,187.66,196.01,196.01,"53,679,200"
1-Apr-25,187.86,193.93,187.2,192.17,192.17,"41,267,300"
31-Mar-25,188.19,191.33,184.4,190.26,190.26,"63,547,600"
28-Mar-25,198.42,199.26,191.88,192.72,192.72,"52,548,200"
27-Mar-25,200.89,203.79,199.28,201.36,201.36,"27,317,700"
26-Mar-25,205.84,206.01,199.93,201.13,201.13,"32,855,300"
25-Mar-25,203.6,206.21,203.22,205.71,205.71,"31,171,200"
24-Mar-25,200,203.64,199.95,203.26,203.26,"41,625,400"
21-Mar-25,192.9,196.99,192.52,196.21,196.21,"60,056,900"
20-Mar-25,193.07,199.32,192.3,194.95,194.95,"38,921,100"
19-Mar-25,193.38,195.97,191.96,195.54,195.54,"39,442,900"
18-Mar-25,192.52,194,189.38,192.82,192.82,"40,414,900"
17-Mar-25,198.77,199,194.32,195.74,195.74,"47,341,800"
14-Mar-25,197.41,198.65,195.32,197.95,197.95,"38,096,700"
13-Mar-25,198.17,198.88,191.82,193.89,193.89,"41,270,800"
12-Mar-25,200.72,201.52,195.29,198.89,198.89,"43,679,300"
11-Mar-25,193.9,200.18,193.4,196.59,196.59,"54,002,900"
10-Mar-25,195.6,196.73,190.85,194.54,194.54,"62,350,900"
7-Mar-25,199.49,202.27,192.53,199.25,199.25,"59,802,800"
6-Mar-25,204.4,205.77,198.3,200.7,200.7,"49,863,800"
5-Mar-25,204.8,209.98,203.26,208.36,208.36,"38,610,100"
4-Mar-25,200.11,206.8,197.43,203.8,203.8,"60,853,100"
3-Mar-25,213.35,214.01,202.55,205.02,205.02,"42,948,400"
28-Feb-25,208.65,212.62,206.99,212.28,212.28,"51,771,700"
27-Feb-25,218.35,219.97,208.37,208.74,208.74,"40,548,600"
26-Feb-25,214.94,218.16,213.09,214.35,214.35,"39,120,600"
25-Feb-25,211.63,213.34,204.16,212.8,212.8,"58,958,000"
24-Feb-25,217.45,217.72,212.42,212.71,212.71,"42,387,600"
21-Feb-25,223.28,223.31,214.74,216.58,216.58,"55,323,900"
20-Feb-25,224.78,225.13,221.81,222.88,222.88,"30,001,700"
19-Feb-25,225.52,226.83,223.71,226.63,226.63,"28,566,700"
18-Feb-25,228.82,229.3,223.72,226.65,226.65,"42,975,100"
14-Feb-25,229.2,229.89,227.23,228.68,228.68,"27,031,100"
13-Feb-25,228.85,230.42,227.52,230.37,230.37,"31,346,500"
12-Feb-25,230.46,231.18,228.16,228.93,228.93,"32,285,200"
11-Feb-25,231.92,233.44,230.13,232.76,232.76,"23,713,700"
10-Feb-25,230.55,233.92,229.2,233.14,233.14,"35,419,900"
7-Feb-25,232.5,234.81,228.06,229.15,229.15,"77,539,300"
6-Feb-25,238.01,239.66,236.01,238.83,238.83,"60,897,100"
5-Feb-25,237.02,238.32,235.2,236.17,236.17,"38,727,300"
4-Feb-25,239.01,242.52,238.03,242.06,242.06,"29,713,800"
3-Feb-25,234.06,239.25,232.9,237.42,237.42,"37,285,900"
31-Jan-25,236.5,240.29,236.41,237.68,237.68,"36,162,400"
30-Jan-25,237.14,237.95,232.22,234.64,234.64,"32,020,700"
29-Jan-25,239.02,240.39,236.15,237.07,237.07,"26,091,700"
28-Jan-25,234.29,241.77,233.98,238.15,238.15,"41,587,200"
27-Jan-25,226.21,235.61,225.86,235.42,235.42,"49,428,300"
24-Jan-25,234.5,236.4,232.93,234.85,234.85,"25,890,700"
23-Jan-25,234.1,235.52,231.51,235.42,235.42,"26,404,400"
22-Jan-25,232.02,235.44,231.19,235.01,235.01,"41,448,200"
21-Jan-25,228.9,231.78,226.94,230.71,230.71,"39,951,500"
17-Jan-25,225.84,226.51,223.08,225.94,225.94,"42,370,100"
16-Jan-25,224.42,224.65,220.31,220.66,220.66,"24,757,300"
15-Jan-25,222.83,223.57,220.75,223.35,223.35,"31,291,300"
14-Jan-25,220.44,221.82,216.2,217.76,217.76,"24,711,700"
13-Jan-25,218.06,219.4,216.47,218.46,218.46,"27,262,700"
10-Jan-25,221.46,221.71,216.5,218.94,218.94,"36,811,500"
8-Jan-25,223.19,223.52,220.2,222.13,222.13,"25,033,300"
7-Jan-25,227.9,228.38,221.46,222.11,222.11,"28,084,200"
6-Jan-25,226.78,228.84,224.84,227.61,227.61,"31,849,800"
3-Jan-25,222.51,225.36,221.62,224.19,224.19,"27,515,600"
2-Jan-25,222.03,225.15,218.19,220.22,220.22,"33,956,600"
31-Dec-24,222.97,223.23,218.94,219.39,219.39,"24,819,700"
30-Dec-24,220.06,223,218.43,221.3,221.3,"28,321,200"
27-Dec-24,225.6,226.03,220.9,223.75,223.75,"27,367,100"
26-Dec-24,228.5,228.5,226.67,227.05,227.05,"16,146,700"
24-Dec-24,226.94,229.14,226.13,229.05,229.05,"15,007,500"
23-Dec-24,225.01,226.88,223.9,225.06,225.06,"28,070,000"
20-Dec-24,219.84,226.21,218.73,224.92,224.92,"88,279,200"
19-Dec-24,224.91,226.09,222.92,223.29,223.29,"39,918,700"
18-Dec-24,230.77,231.4,220.11,220.52,220.52,"43,281,400"
17-Dec-24,232.39,232.73,227.85,231.15,231.15,"35,948,100"
16-Dec-24,230.23,233,228.01,232.93,232.93,"37,552,100"
13-Dec-24,228.4,230.2,225.86,227.46,227.46,"28,768,100"
12-Dec-24,229.83,231.09,227.63,228.97,228.97,"28,204,100"
11-Dec-24,226.41,231.2,226.26,230.26,230.26,"35,385,800"
10-Dec-24,226.09,229.06,224.2,225.04,225.04,"31,199,900"
9-Dec-24,227.21,230.08,225.67,226.09,226.09,"46,819,400"
6-Dec-24,220.75,227.15,220.6,227.03,227.03,"44,178,100"
5-Dec-24,218.03,222.15,217.3,220.55,220.55,"41,140,200"
4-Dec-24,215.96,220,215.75,218.16,218.16,"48,745,700"
3-Dec-24,210.31,214.02,209.65,213.44,213.44,"32,214,800"
2-Dec-24,209.96,212.99,209.51,210.71,210.71,"39,523,200"
29-Nov-24,205.83,208.2,204.59,207.89,207.89,"24,892,400"
27-Nov-24,206.98,207.64,205.05,205.74,205.74,"28,061,600"
26-Nov-24,201.9,208,201.79,207.86,207.86,"41,673,700"
25-Nov-24,199.28,201.95,199,201.45,201.45,"40,685,700"
22-Nov-24,198.25,199.26,196.75,197.12,197.12,"31,530,800"
