Date,Open,High,Low,Close ,Adj Close ,Volume
25-Apr-25,387,392.16,384.6,391.85,391.85,"18,963,600"
24-Apr-25,375.7,388.45,375.19,387.3,387.3,"22,232,300"
23-Apr-25,376.06,380.39,373.02,374.39,374.39,"20,545,500"
22-Apr-25,363.38,367.77,359.86,366.82,366.82,"19,485,000"
21-Apr-25,362.82,364.48,355.67,359.12,359.12,"20,807,300"
17-Apr-25,373.75,374.32,366.89,367.78,367.78,"20,943,700"
16-Apr-25,380.67,381.61,368,371.61,371.61,"21,967,800"
15-Apr-25,388.51,391.89,384.16,385.73,385.73,"17,199,900"
14-Apr-25,393.22,394.65,384.21,387.81,387.81,"19,251,200"
11-Apr-25,380.64,390.05,378.89,388.45,388.45,"23,839,200"
10-Apr-25,382.06,383.9,367.8,381.35,381.35,"38,024,400"
9-Apr-25,353.54,393.23,353.1,390.49,390.49,"50,199,700"
8-Apr-25,368.26,373.65,350.25,354.56,354.56,"35,868,900"
7-Apr-25,350.88,371,344.79,357.86,357.86,"50,425,000"
4-Apr-25,364.13,374.59,359.48,359.84,359.84,"49,209,900"
3-Apr-25,374.79,377.48,369.35,373.11,373.11,"30,198,000"
2-Apr-25,377.97,385.08,376.62,382.14,382.14,"16,092,600"
1-Apr-25,374.65,382.85,373.23,382.19,382.19,"19,689,500"
31-Mar-25,372.54,377.07,367.24,375.39,375.39,"35,184,700"
28-Mar-25,388.08,389.13,376.93,378.8,378.8,"21,632,000"
27-Mar-25,390.13,392.24,387.4,390.58,390.58,"13,766,800"
26-Mar-25,395,395.31,388.57,389.97,389.97,"16,108,400"
25-Mar-25,393.92,396.36,392.64,395.16,395.16,"15,775,000"
24-Mar-25,395.4,395.4,389.81,393.08,393.08,"21,004,500"
21-Mar-25,383.22,391.74,382.8,391.26,391.26,"39,675,900"
20-Mar-25,385.74,391.79,383.28,386.84,386.84,"18,470,500"
19-Mar-25,385.53,389.68,384,387.82,387.82,"19,185,500"
18-Mar-25,387.07,387.37,381.1,383.52,383.52,"19,486,900"
17-Mar-25,386.7,392.71,385.57,388.7,388.7,"22,474,300"
14-Mar-25,379.78,390.23,379.51,388.56,388.56,"19,952,800"
13-Mar-25,383.16,385.32,377.45,378.77,378.77,"20,473,000"
12-Mar-25,382.95,385.22,378.95,383.27,383.27,"24,253,600"
11-Mar-25,379,386,376.91,380.45,380.45,"30,380,200"
10-Mar-25,385.84,386.4,377.22,380.16,380.16,"32,840,100"
7-Mar-25,392.32,394.8,385.54,393.31,393.31,"22,034,100"
6-Mar-25,394.28,402.15,392.68,396.89,396.89,"23,304,600"
5-Mar-25,389.34,401.67,388.81,401.02,401.02,"23,433,100"
4-Mar-25,383.4,392.58,381,388.61,388.61,"29,342,900"
3-Mar-25,398.82,398.82,386.16,388.49,388.49,"23,007,700"
28-Feb-25,392.66,397.63,386.57,396.99,396.99,"32,845,700"
27-Feb-25,401.27,405.74,392.17,392.53,392.53,"21,127,400"
26-Feb-25,398.01,403.6,394.25,399.73,399.73,"19,619,000"
25-Feb-25,401.1,401.92,396.7,397.9,397.9,"29,387,400"
24-Feb-25,408.51,409.37,399.32,404,404,"26,443,700"
21-Feb-25,417.34,418.05,407.89,408.21,408.21,"27,524,800"
20-Feb-25,415.29,419.31,412.54,416.13,416.13,"23,508,700"
19-Feb-25,407.88,415.49,407.65,414.77,413.94,"24,114,200"
18-Feb-25,408,410.6,406.5,409.64,408.82,"21,423,100"
14-Feb-25,407.79,408.91,405.88,408.43,407.61,"22,758,500"
13-Feb-25,407,411,406.36,410.54,409.72,"23,891,700"
12-Feb-25,407.21,410.75,404.37,409.04,408.22,"19,121,700"
11-Feb-25,409.64,412.49,409.3,411.44,410.62,"18,140,600"
10-Feb-25,413.71,415.46,410.92,412.22,411.4,"20,817,900"
7-Feb-25,416.48,418.65,408.1,409.75,408.93,"22,886,800"
6-Feb-25,414,418.2,414,415.82,414.99,"16,309,800"
5-Feb-25,412.35,413.83,410.4,413.29,412.46,"16,316,700"
4-Feb-25,412.69,413.92,409.74,412.37,411.54,"20,532,100"
3-Feb-25,411.6,415.41,408.66,410.92,410.1,"25,679,100"
31-Jan-25,418.98,420.69,414.91,415.06,414.23,"34,223,400"
30-Jan-25,418.77,422.86,413.16,414.99,414.16,"54,586,300"
29-Jan-25,446.69,446.88,440.4,442.33,441.44,"23,581,400"
28-Jan-25,434.6,448.38,431.38,447.2,446.31,"23,491,700"
27-Jan-25,424.01,435.2,423.5,434.56,433.69,"35,647,800"
24-Jan-25,445.16,446.65,441.4,444.06,443.17,"15,549,500"
23-Jan-25,442,446.75,441.5,446.71,445.82,"18,389,300"
22-Jan-25,437.56,447.27,436,446.2,445.31,"27,803,800"
21-Jan-25,430.2,430.9,425.6,428.5,427.64,"26,085,700"
17-Jan-25,434.09,434.48,428.17,429.03,428.17,"26,197,500"
16-Jan-25,428.7,429.49,424.39,424.58,423.73,"15,300,000"
15-Jan-25,419.13,428.15,418.27,426.31,425.46,"19,637,800"
14-Jan-25,417.81,419.74,410.72,415.67,414.84,"16,935,900"
13-Jan-25,415.24,418.5,412.29,417.19,416.36,"17,604,800"
10-Jan-25,424.63,424.71,415.02,418.95,418.11,"20,201,100"
8-Jan-25,423.46,426.97,421.54,424.56,423.71,"15,054,600"
7-Jan-25,429,430.65,420.8,422.37,421.52,"18,139,100"
6-Jan-25,428,434.32,425.48,427.85,426.99,"20,573,600"
3-Jan-25,421.08,424.03,419.54,423.35,422.5,"16,662,900"
2-Jan-25,425.53,426.07,414.85,418.58,417.74,"16,896,500"
31-Dec-24,426.1,426.73,420.66,421.5,420.66,"13,246,500"
30-Dec-24,426.06,427.55,421.9,424.83,423.98,"13,158,700"
27-Dec-24,434.6,435.22,426.35,430.53,429.67,"18,117,700"
26-Dec-24,439.08,440.94,436.63,438.11,437.23,"8,194,200"
24-Dec-24,434.65,439.6,434.19,439.33,438.45,"7,164,500"
23-Dec-24,436.74,437.65,432.83,435.25,434.38,"19,152,500"
20-Dec-24,433.11,443.74,428.63,436.6,435.73,"64,263,700"
19-Dec-24,441.62,443.18,436.32,437.03,436.16,"22,963,700"
